"","respid","sample","int_date","fcall","attempt","refusal","lang","cregion","state","density","usr","scregion","sstate","sdensity","susr","llitext0","llitext","qintro2","phase","qs1","qa1","q1c1","qc1a","qb2","qb3","qb4","qb5","qa6","qa8","qa9a","qa9b","qa9c","qa9d","qa9e","qa9f","qa9g","q11a","q11b","q11c_b","q11e_b","q11h_b","q11i_b","q11j_b","q11at","q11bt","qb12"
"3260",200145,"Landline",140212,140212,1,"No","English","Midwest","Illinois","3","S  ","Midwest","Illinois","3","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Satisfied","Dissatisfied","Ahead of us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3261",200146,"Landline",140212,140212,1,"No","English","South","Texas","Highest","U  ","South","Texas","Highest","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Satisfied","Satisfied","Ahead of us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3262",200147,"Landline",140212,140212,1,"No","English","Midwest","Illinois","Highest","S  ","Midwest","Illinois","Highest","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Satisfied","Satisfied","Ahead of us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Very favorable","Very unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Very favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3263",200148,"Landline",140212,140212,1,"No","English","South","Oklahoma","Lowest","S  ","South","Oklahoma","Lowest","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Behind us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Very favorable","Very unfavorable","Very unfavorable","Very favorable","Mostly unfavorable","Very unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3264",200151,"Landline",140212,140212,1,"No","English","Midwest","Illinois","Highest","U  ","Midwest","Illinois","Highest","U  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","(VOL) Don't know/Refused","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly favorable","Mostly unfavorable","Very favorable","Very unfavorable","Mostly unfavorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3265",200152,"Landline",140212,140212,1,"No","English","Midwest","South Dakota","Lowest","S  ","Midwest","South Dakota","Lowest","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Behind us","Hardly any",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Very unfavorable","Very unfavorable","Very unfavorable","Mostly favorable","Mostly unfavorable","Very unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3266",200153,"Landline",140212,140212,1,"No","English","Midwest","Wisconsin","Lowest","S  ","Midwest","Wisconsin","Lowest","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Behind us","Hardly any",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Very unfavorable","Mostly favorable","Mostly unfavorable","Very unfavorable","Very favorable","Very favorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3267",200154,"Landline",140212,140212,1,"No","English","West","Arizona","3","S  ","West","Arizona","3","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Behind us","Hardly any",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Very unfavorable","Very unfavorable","Very unfavorable","Very favorable","Very unfavorable","Very unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3268",200155,"Landline",140212,140212,1,"No","English","West","Colorado","Lowest","R  ","West","Colorado","Lowest","R  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Behind us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly favorable","Mostly favorable","(VOL) Can't rate","Mostly unfavorable","Mostly favorable","Mostly unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3269",200158,"Landline",140212,140212,1,"No","English","Midwest","South Dakota","Lowest","U  ","Midwest","South Dakota","Lowest","U  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Behind us","(VOL) Don't know/Refused",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(VOL) Can't rate","(VOL) Can't rate","(VOL) Can't rate","(VOL) Can't rate","(VOL) Never heard of","(VOL) Never heard of","(VOL) Never heard of",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3270",200162,"Landline",140212,140212,1,"No","English","West","Utah","4","S  ","West","Utah","4","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Satisfied","Satisfied","Ahead of us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3271",200163,"Landline",140212,140212,1,"No","English","West","Montana","Lowest","R  ","West","Montana","Lowest","R  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Ahead of us","Hardly any",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly favorable","Mostly favorable","Mostly unfavorable","Mostly favorable","Mostly favorable","Mostly unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3272",200165,"Landline",140212,140212,1,"No","English","West","Idaho","Lowest","U  ","West","Idaho","Lowest","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Ahead of us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Very unfavorable","Very unfavorable","Mostly unfavorable","Mostly favorable","Mostly unfavorable","Mostly unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3273",200166,"Landline",140212,140212,1,"No","English","South","Texas","3","U  ","South","Texas","3","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Behind us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Very unfavorable","Very unfavorable","Mostly unfavorable","Very favorable","Very unfavorable","Very unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3274",200167,"Landline",140212,140212,1,"No","English","West","Idaho","Lowest","U  ","West","Idaho","Lowest","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Behind us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly unfavorable","Mostly unfavorable","Mostly unfavorable","Very favorable","Mostly favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3275",200169,"Landline",140212,140212,1,"No","English","West","Utah","Lowest","S  ","West","Arizona","Lowest","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Behind us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly unfavorable","Mostly unfavorable","Mostly unfavorable","Mostly favorable","Mostly unfavorable","Very unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3276",200171,"Landline",140212,140212,1,"No","English","West","Washington","2","S  ","West","Arizona","Lowest","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Behind us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Very unfavorable","Very unfavorable","Mostly unfavorable","Very favorable","Very unfavorable","Mostly unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3277",200172,"Landline",140212,140212,1,"No","English","West","Washington","4","S  ","West","Washington","4","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Satisfied","Satisfied","(VOL) Don't know/Refused","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly favorable","Mostly unfavorable","Mostly favorable","Mostly unfavorable","Mostly favorable","Mostly favorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3278",200173,"Landline",140212,140212,1,"No","English","West","Washington","3","S  ","West","Washington","3","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Ahead of us","Hardly any",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly unfavorable","Mostly unfavorable","Mostly unfavorable","(VOL) Can't rate","(VOL) Can't rate","Mostly favorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3279",200174,"Landline",140212,140212,1,"No","English","West","California","Highest","U  ","West","California","Highest","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Satisfied","Satisfied","Ahead of us","Hardly any",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Very favorable","Very favorable","(VOL) Can't rate","Very unfavorable","Very unfavorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3280",200176,"Landline",140212,140212,1,"No","English","West","California","3","S  ","West","California","3","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Behind us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very favorable","Very unfavorable","Very unfavorable","Very favorable","Very favorable","Very unfavorable","Very unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3281",200178,"Landline",140212,140212,1,"No","English","West","California","4","S  ","West","California","4","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Satisfied","(VOL) Don't know/Refused","Behind us","Hardly any",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very favorable","Very unfavorable","Mostly unfavorable","(VOL) Can't rate","Very favorable","Very unfavorable","Mostly unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3282",200179,"Landline",140212,140212,1,"No","English","West","California","Highest","U  ","West","California","Highest","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"(VOL) Don't know/Refused","Satisfied","Ahead of us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly favorable","Mostly unfavorable","(VOL) Can't rate","Mostly unfavorable","Mostly favorable","Mostly unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3283",200181,"Landline",140212,140212,1,"No","English","West","California","Lowest","S  ","West","California","Lowest","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","(VOL) Don't know/Refused","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Very unfavorable","Mostly unfavorable","Very unfavorable","Very favorable","(VOL) Can't rate","(VOL) Can't rate",NA,NA,"(VOL) Don't know/Refused"
"3284",200182,"Landline",140212,140212,1,"No","English","West","California","3","S  ","West","California","3","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Satisfied","Satisfied","Ahead of us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(VOL) Can't rate","(VOL) Can't rate","Very unfavorable","Very unfavorable","Mostly unfavorable","Mostly favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3285",200185,"Landline",140217,140212,4,"No","English","West","California","3","S  ","West","California","3","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","(VOL) Don't know/Refused","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly favorable","Mostly unfavorable","Mostly favorable","(VOL) Can't rate","Mostly favorable","(VOL) Can't rate",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3286",200187,"Landline",140212,140212,1,"No","English","West","California","3","S  ","West","California","3","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Ahead of us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Very unfavorable","Very unfavorable","Mostly favorable","Mostly unfavorable","(VOL) Can't rate","Mostly unfavorable",NA,NA,"(VOL) Don't know/Refused"
"3287",200188,"Landline",140212,140212,1,"No","English","West","California","3","S  ","West","California","3","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Behind us","Hardly any",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly unfavorable","Very unfavorable","Mostly unfavorable","Mostly unfavorable","Very favorable","Mostly unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3288",200189,"Landline",140212,140212,1,"No","English","West","California","Highest","S  ","West","California","Highest","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Satisfied","Satisfied","(VOL) Don't know/Refused","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Very favorable","Mostly favorable","Mostly favorable","(VOL) Can't rate","(VOL) Can't rate","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3289",200191,"Landline",140212,140212,1,"No","English","West","California","Highest","S  ","West","California","Highest","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Ahead of us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Very favorable","Very unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Very favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3290",200192,"Landline",140212,140212,1,"No","English","West","California","Highest","U  ","West","California","Highest","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Satisfied","Satisfied","Ahead of us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly favorable","Mostly unfavorable","Mostly unfavorable","Mostly unfavorable","Mostly favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3291",200193,"Landline",140212,140212,1,"No","English","West","Nevada","Lowest","U  ","West","Nevada","Lowest","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Behind us","Hardly any",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Very unfavorable","Mostly unfavorable","Mostly unfavorable","Mostly favorable","Mostly favorable","Mostly unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3292",200195,"Landline",140212,140212,1,"No","English","West","California","2","S  ","West","California","2","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Behind us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly unfavorable","Mostly unfavorable","Mostly unfavorable","Mostly favorable","Mostly unfavorable","Mostly unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3293",200198,"Landline",140212,140212,1,"No","English","West","Washington","3","U  ","West","Washington","3","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Behind us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly unfavorable","Very unfavorable","Very unfavorable","Very unfavorable","Mostly unfavorable","Very unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3294",200199,"Landline",140212,140212,2,"No","English","West","California","3","U  ","West","California","3","U  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Ahead of us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly favorable","Mostly unfavorable","Very favorable","Very unfavorable","Very unfavorable","Very unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3295",200200,"Landline",140212,140212,1,"No","English","West","California","Highest","U  ","West","California","Highest","U  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Satisfied","Satisfied","Behind us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Very unfavorable","Mostly unfavorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3296",200202,"Landline",140212,140212,2,"No","English","West","Colorado","Lowest","R  ","West","Colorado","Lowest","R  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Satisfied","Satisfied","Ahead of us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly favorable","Mostly unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3297",200203,"Landline",140212,140212,2,"No","English","West","New Mexico","3","U  ","West","New Mexico","3","U  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Behind us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly favorable","Very unfavorable","Very favorable","Very unfavorable","(VOL) Can't rate","(VOL) Can't rate",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3298",200204,"Landline",140213,140213,1,"No","English","West","Colorado","3","S  ","West","Colorado","3","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Behind us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly unfavorable","Mostly unfavorable","Mostly unfavorable","Mostly unfavorable","Mostly favorable","Mostly favorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3299",200205,"Landline",140213,140213,1,"No","English","West","Nevada","2","S  ","West","Nevada","2","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Behind us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly favorable","Very unfavorable","Very favorable","Very unfavorable","Mostly unfavorable","Very unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3300",200206,"Landline",140213,140213,3,"No","English","Northeast","New York","Highest","U  ","Northeast","New York","Highest","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"(VOL) Don't know/Refused","Satisfied","Ahead of us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly favorable","Mostly unfavorable","(VOL) Can't rate","Mostly unfavorable","Mostly favorable","(VOL) Can't rate",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3301",200207,"Landline",140217,140213,6,"No","English","South","Washington DC","Highest","U  ","South","Maryland","Highest","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Ahead of us","Hardly any",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly favorable","Very unfavorable","Very unfavorable","Very unfavorable","Mostly unfavorable","Mostly unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3302",200209,"Landline",140213,140213,2,"No","English","Northeast","New York","4","U  ","Northeast","New York","4","U  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"(VOL) Don't know/Refused","Satisfied","(VOL) Don't know/Refused","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very favorable","Very favorable","Very unfavorable","Very favorable","(VOL) Can't rate","Very favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3303",200210,"Landline",140213,140213,1,"No","English","Northeast","New York","Highest","S  ","Northeast","New York","Highest","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Satisfied","Dissatisfied","Ahead of us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly favorable","Mostly unfavorable","Very favorable","Very unfavorable","Mostly favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3304",200211,"Landline",140213,140213,1,"No","English","Northeast","Connecticut","4","S  ","Northeast","Connecticut","4","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Behind us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly unfavorable","Mostly unfavorable","Mostly favorable","Mostly favorable","Mostly favorable","Mostly favorable",NA,NA,"(VOL) Don't know/Refused"
"3305",200213,"Landline",140213,140213,1,"No","English","South","Florida","3","S  ","South","Florida","3","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","(VOL) Don't know/Refused","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Very unfavorable","Mostly unfavorable","Very unfavorable","Mostly unfavorable","Mostly favorable","Very unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3306",200214,"Landline",140213,140213,1,"No","English","Midwest","Ohio","4","S  ","Midwest","Ohio","4","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Satisfied","Satisfied","Ahead of us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly unfavorable","Mostly favorable","Mostly unfavorable","Very unfavorable","Mostly favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3307",200215,"Landline",140213,140213,1,"No","English","South","Virginia","Highest","S  ","South","Virginia","Highest","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","(VOL) Don't know/Refused","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Very unfavorable","Mostly favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3308",200216,"Landline",140213,140213,1,"No","English","Midwest","Ohio","Highest","U  ","Midwest","Ohio","Highest","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Ahead of us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly unfavorable","Very unfavorable","Very favorable","Very favorable","Mostly favorable","Mostly unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3309",200218,"Landline",140215,140213,3,"No","English","Northeast","New York","Highest","U  ","Northeast","New York","Highest","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Ahead of us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Very unfavorable","Mostly unfavorable","Mostly unfavorable","Mostly favorable","(VOL) Can't rate","Mostly unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3310",200219,"Landline",140213,140213,1,"No","English","South","North Carolina","3","S  ","South","North Carolina","3","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Satisfied","Satisfied","(VOL) Don't know/Refused","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly favorable","Mostly unfavorable","Mostly favorable","Mostly unfavorable","Mostly favorable","Mostly favorable","Mostly favorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3311",200220,"Landline",140213,140213,1,"No","English","South","West Virginia","Lowest","R  ","South","West Virginia","Lowest","R  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Ahead of us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Very favorable","Very unfavorable","Very favorable","Very unfavorable","Mostly favorable","Mostly unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3312",200221,"Landline",140213,140213,1,"No","English","Northeast","Pennsylvania","Lowest","R  ","Northeast","Pennsylvania","Lowest","R  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Ahead of us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly favorable","Mostly unfavorable","Mostly favorable","Mostly favorable","Very favorable","Very favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3313",200222,"Landline",140213,140213,1,"No","English","Northeast","Pennsylvania","3","S  ","Northeast","Pennsylvania","3","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","(VOL) Don't know/Refused","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very favorable","Very unfavorable","Very favorable","Very unfavorable","Very favorable","Very unfavorable","Very unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3314",200223,"Landline",140213,140213,1,"No","English","South","North Carolina","Lowest","R  ","South","North Carolina","Lowest","R  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","Dissatisfied","Behind us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Very unfavorable","Mostly unfavorable","Mostly unfavorable","(VOL) Can't rate","(VOL) Can't rate","Very unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3315",200224,"Landline",140216,140213,2,"No","English","Northeast","Connecticut","4","S  ","Northeast","Connecticut","4","S  ",NA,"Youngest Male","Youngest Male",2,NA,NA,NA,NA,"Dissatisfied","(VOL) Don't know/Refused","Behind us","A fair amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly unfavorable","Very unfavorable","Mostly unfavorable","Very unfavorable","Very favorable","Very unfavorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
"3316",200226,"Landline",140213,140213,1,"No","English","Midwest","Michigan","3","S  ","Midwest","Michigan","3","S  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Behind us","Hardly any",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly unfavorable","Mostly unfavorable","Very unfavorable","Very favorable","Mostly favorable","(VOL) Can't rate","Mostly unfavorable",NA,NA,"Should they stand up for their positions, even if that means little gets done in Washington"
"3317",200227,"Landline",140213,140213,1,"No","English","Northeast","Massachusetts","4","U  ","Northeast","Massachusetts","4","U  ",NA,"Youngest Female","Youngest Female",2,NA,NA,NA,NA,"Dissatisfied","Satisfied","Behind us","A great deal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very unfavorable","Mostly unfavorable","Very unfavorable","Very favorable","Mostly favorable","Mostly favorable","Mostly favorable",NA,NA,"Should they work with elected officials they disagree with, even if it results in some policies you don't like"
